品牌,型号,系列,尺寸（inch）,材质（介质）,容值,容值单位,容值误差,耐压（V）,特殊用途,备注1,备注2,备注3,器件类型,安装方式,封装代码,尺寸（mm）,规格摘要,生产状态,长度（mm）,宽度（mm）,高度（mm）,官网链接,数据来源,数据状态,校验时间,校验备注,直径（mm）,脚距（mm）,极性,ESR,纹波电流,寿命（h）,工作温度,阻值@25C,阻值单位,阻值误差,B值,B值条件,共模阻抗,阻抗单位,额定电流,DCR,回路数,电感值,电感单位,电感误差,饱和电流,屏蔽类型,阻抗@100MHz,系列说明,_model_rule_authority,_resistance_ohm,输出频率,频率单位,频差（ppm）,电源电压,输出类型,占空比,频率,负载电容（pF）,驱动电平,_body_size
三星Samsung,CIGT160808XMR24MN#,CIGT160808XM,0603,,,,,,Power Inductor,Isat Max: 4.1A | Itemp Max: 4.3A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film General Type,功率电感,SMT,0603,1.60±0.20mm x 0.80±0.20mm x 0.8mm,L=0.24 | Tol=20 | Isat=4.1A | Itemp=4.3A | DCR=0.024Ω | 1.60±0.20mm x 0.80±0.20mm x 0.8mm,Active,1.6,0.8,0.8,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 9,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,4.3A,0.024Ω,,0.24,UH,20,4.1A,Magnetically Shielded Type,,Samsung Thin Film General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,1.60±0.20mm x 0.80±0.20mm x 0.8mm
三星Samsung,CIGT201208TMR47YL#,CIGT201208TM,0805,,,,,,Power Inductor,Isat Max: 4.8A | Itemp Max: 4.2A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film L Type,功率电感,SMT,0805,2.00±0.20mm x 1.20±0.20mm x 0.8mm,L=0.47 | Tol=20 | Isat=4.8A | Itemp=4.2A | DCR=0.024Ω | 2.00±0.20mm x 1.20±0.20mm x 0.8mm,Active,2,1.2,0.8,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 11,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,4.2A,0.024Ω,,0.47,UH,20,4.8A,Magnetically Shielded Type,,Samsung Thin Film L Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.00±0.20mm x 1.20±0.20mm x 0.8mm
三星Samsung,CIGT2012R5EKR56ML#,CIGT2012R5EK,0805,,,,,,Power Inductor,Isat Max: 3.2A | Itemp Max: 2.1A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film L Type,功率电感,SMT,0805,2.00±0.10mm x 1.20±0.10mm x 0.55mm,L=0.56 | Tol=20 | Isat=3.2A | Itemp=2.1A | DCR=0.075Ω | 2.00±0.10mm x 1.20±0.10mm x 0.55mm,Active,2,1.2,0.55,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 11,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,2.1A,0.075Ω,,0.56,UH,20,3.2A,Magnetically Shielded Type,,Samsung Thin Film L Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.00±0.10mm x 1.20±0.10mm x 0.55mm
三星Samsung,CIGT2016R6TMR47ML#,CIGT2016R6TM,0806,,,,,,Power Inductor,Isat Max: 5A | Itemp Max: 4.5A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film L Type,功率电感,SMT,0806,2.00±0.20mm x 1.60±0.20mm x 0.65mm,L=0.47 | Tol=20 | Isat=5A | Itemp=4.5A | DCR=0.031Ω | 2.00±0.20mm x 1.60±0.20mm x 0.65mm,Active,2,1.6,0.65,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 11,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,4.5A,0.031Ω,,0.47,UH,20,5A,Magnetically Shielded Type,,Samsung Thin Film L Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.00±0.20mm x 1.60±0.20mm x 0.65mm
三星Samsung,CIGT2016R5HS1R0ML#,CIGT2016R5HS,0806,,,,,,Power Inductor,Isat Max: 2.2A | Itemp Max: 1.8A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film L Type,功率电感,SMT,0806,2.00±0.20mm x 1.60±0.20mm x 0.55mm,L=1 | Tol=20 | Isat=2.2A | Itemp=1.8A | DCR=0.104Ω | 2.00±0.20mm x 1.60±0.20mm x 0.55mm,Active,2,1.6,0.55,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 11,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,1.8A,0.104Ω,,1,UH,20,2.2A,Magnetically Shielded Type,,Samsung Thin Film L Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.00±0.20mm x 1.60±0.20mm x 0.55mm
三星Samsung,CIGT252010EL1R0ML#,CIGT252010EL,1008,,,,,,Power Inductor,Isat Max: 5A | Itemp Max: 4.7A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film L Type,功率电感,SMT,1008,2.50±0.20mm x 2.00±0.20mm x 1mm,L=1 | Tol=20 | Isat=5A | Itemp=4.7A | DCR=0.025Ω | 2.50±0.20mm x 2.00±0.20mm x 1mm,Active,2.5,2,1,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 11,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,4.7A,0.025Ω,,1,UH,20,5A,Magnetically Shielded Type,,Samsung Thin Film L Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.50±0.20mm x 2.00±0.20mm x 1mm
三星Samsung,CIGT252010TM1R0ML#,CIGT252010TM,1008,,,,,,Power Inductor,Isat Max: 5.3A | Itemp Max: 5A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film L Type,功率电感,SMT,1008,2.50±0.20mm x 2.00±0.20mm x 1mm,L=1 | Tol=20 | Isat=5.3A | Itemp=5A | DCR=0.023Ω | 2.50±0.20mm x 2.00±0.20mm x 1mm,Active,2.5,2,1,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 11,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,5A,0.023Ω,,1,UH,20,5.3A,Magnetically Shielded Type,,Samsung Thin Film L Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.50±0.20mm x 2.00±0.20mm x 1mm
三星Samsung,CIGT160806TMR33MB#,CIGT160806TM,0603,,,,,,Power Inductor,Isat Max: 3A | Itemp Max: 2.4A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film Bottom Type,功率电感,SMT,0603,1.60±0.20mm x 0.80±0.20mm x 0.6mm,L=0.33 | Tol=20 | Isat=3A | Itemp=2.4A | DCR=0.04Ω | 1.60±0.20mm x 0.80±0.20mm x 0.6mm,Active,1.6,0.8,0.6,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 13,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,2.4A,0.04Ω,,0.33,UH,20,3A,Magnetically Shielded Type,,Samsung Thin Film Bottom Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,1.60±0.20mm x 0.80±0.20mm x 0.6mm
三星Samsung,CIGT160806TMR47MB#,CIGT160806TM,0603,,,,,,Power Inductor,Isat Max: 2.5A | Itemp Max: 2.5A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film Bottom Type,功率电感,SMT,0603,1.60±0.20mm x 0.80±0.20mm x 0.6mm,L=0.47 | Tol=20 | Isat=2.5A | Itemp=2.5A | DCR=0.05Ω | 1.60±0.20mm x 0.80±0.20mm x 0.6mm,Active,1.6,0.8,0.6,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 13,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,2.5A,0.05Ω,,0.47,UH,20,2.5A,Magnetically Shielded Type,,Samsung Thin Film Bottom Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,1.60±0.20mm x 0.80±0.20mm x 0.6mm
三星Samsung,CIGT1412R6TMR33MB#,CIGT1412R6TM,0605,,,,,,Power Inductor,Isat Max: 5A | Itemp Max: 3.4A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film Bottom Type,功率电感,SMT,0605,1.40±0.20mm x 1.20±0.20mm x 0.65mm,L=0.33 | Tol=20 | Isat=5A | Itemp=3.4A | DCR=0.032Ω | 1.40±0.20mm x 1.20±0.20mm x 0.65mm,Active,1.4,1.2,0.65,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 13,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,3.4A,0.032Ω,,0.33,UH,20,5A,Magnetically Shielded Type,,Samsung Thin Film Bottom Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,1.40±0.20mm x 1.20±0.20mm x 0.65mm
三星Samsung,CIGT1412R6TMR47MB#,CIGT1412R6TM,0605,,,,,,Power Inductor,Isat Max: 3.2A | Itemp Max: 3.2A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film Bottom Type,功率电感,SMT,0605,1.40±0.20mm x 1.20±0.20mm x 0.65mm,L=0.47 | Tol=20 | Isat=3.2A | Itemp=3.2A | DCR=0.038Ω | 1.40±0.20mm x 1.20±0.20mm x 0.65mm,Active,1.4,1.2,0.65,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 13,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,3.2A,0.038Ω,,0.47,UH,20,3.2A,Magnetically Shielded Type,,Samsung Thin Film Bottom Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,1.40±0.20mm x 1.20±0.20mm x 0.65mm
三星Samsung,CIGT201206TMR47MB#,CIGT201206TM,0805,,,,,,Power Inductor,Isat Max: 3.3A | Itemp Max: 3.3A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film Bottom Type,功率电感,SMT,0805,2.00±0.20mm x 1.20±0.20mm x 0.6mm,L=0.47 | Tol=20 | Isat=3.3A | Itemp=3.3A | DCR=0.038Ω | 2.00±0.20mm x 1.20±0.20mm x 0.6mm,Active,2,1.2,0.6,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 13,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,3.3A,0.038Ω,,0.47,UH,20,3.3A,Magnetically Shielded Type,,Samsung Thin Film Bottom Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.00±0.20mm x 1.20±0.20mm x 0.6mm
三星Samsung,CIGT2012R6TMR47MB#,CIGT2012R6TM,0805,,,,,,Power Inductor,Isat Max: 4.5A | Itemp Max: 3.4A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film Bottom Type,功率电感,SMT,0805,2.00±0.20mm x 1.20±0.20mm x 0.65mm,L=0.47 | Tol=20 | Isat=4.5A | Itemp=3.4A | DCR=0.034Ω | 2.00±0.20mm x 1.20±0.20mm x 0.65mm,Active,2,1.2,0.65,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 13,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,3.4A,0.034Ω,,0.47,UH,20,4.5A,Magnetically Shielded Type,,Samsung Thin Film Bottom Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.00±0.20mm x 1.20±0.20mm x 0.65mm
三星Samsung,CIGW252010GLR47MN#,CIGW252010GL,1008,,,,,,Power Inductor,Isat Max: 5.1A | Itemp Max: 5.9A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Wire Wound General Type,功率电感,SMT,1008,2.50±0.20mm x 2.00±0.20mm x 1mm,L=0.47 | Tol=20 | Isat=5.1A | Itemp=5.9A | DCR=0.02Ω | 2.50±0.20mm x 2.00±0.20mm x 1mm,Active,2.5,2,1,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 15,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,5.9A,0.02Ω,,0.47,UH,20,5.1A,Magnetically Shielded Type,,Samsung Wire Wound General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.50±0.20mm x 2.00±0.20mm x 1mm
三星Samsung,CIGW252010GL1R0MN#,CIGW252010GL,1008,,,,,,Power Inductor,Isat Max: 3.3A | Itemp Max: 3.3A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Wire Wound General Type,功率电感,SMT,1008,2.50±0.20mm x 2.00±0.20mm x 1mm,L=1 | Tol=20 | Isat=3.3A | Itemp=3.3A | DCR=0.04Ω | 2.50±0.20mm x 2.00±0.20mm x 1mm,Active,2.5,2,1,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 15,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,3.3A,0.04Ω,,1,UH,20,3.3A,Magnetically Shielded Type,,Samsung Wire Wound General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.50±0.20mm x 2.00±0.20mm x 1mm
三星Samsung,CIGW252010GL1R5MN#,CIGW252010GL,1008,,,,,,Power Inductor,Isat Max: 2.8A | Itemp Max: 3.2A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Wire Wound General Type,功率电感,SMT,1008,2.50±0.20mm x 2.00±0.20mm x 1mm,L=1.5 | Tol=20 | Isat=2.8A | Itemp=3.2A | DCR=0.054Ω | 2.50±0.20mm x 2.00±0.20mm x 1mm,Active,2.5,2,1,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 15,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,3.2A,0.054Ω,,1.5,UH,20,2.8A,Magnetically Shielded Type,,Samsung Wire Wound General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.50±0.20mm x 2.00±0.20mm x 1mm
三星Samsung,CIGW252010EH4R7MN#,CIGW252010EH,1008,,,,,,Power Inductor,Isat Max: 1.9A | Itemp Max: 1.4A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Wire Wound General Type,功率电感,SMT,1008,2.50±0.20mm x 2.00±0.20mm x 1mm,L=4.7 | Tol=20 | Isat=1.9A | Itemp=1.4A | DCR=0.15Ω | 2.50±0.20mm x 2.00±0.20mm x 1mm,Active,2.5,2,1,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 15,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,1.4A,0.15Ω,,4.7,UH,20,1.9A,Magnetically Shielded Type,,Samsung Wire Wound General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.50±0.20mm x 2.00±0.20mm x 1mm
三星Samsung,CIGW252010GL4R7MN#,CIGW252010GL,1008,,,,,,Power Inductor,Isat Max: 1.4A | Itemp Max: 1.4A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Wire Wound General Type,功率电感,SMT,1008,2.50±0.20mm x 2.00±0.20mm x 1mm,L=4.7 | Tol=20 | Isat=1.4A | Itemp=1.4A | DCR=0.216Ω | 2.50±0.20mm x 2.00±0.20mm x 1mm,Active,2.5,2,1,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 15,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,1.4A,0.216Ω,,4.7,UH,20,1.4A,Magnetically Shielded Type,,Samsung Wire Wound General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.50±0.20mm x 2.00±0.20mm x 1mm
三星Samsung,CIGW252012GL4R7MN#,CIGW252012GL,1008,,,,,,Power Inductor,Isat Max: 1.7A | Itemp Max: 1.4A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Wire Wound General Type,功率电感,SMT,1008,2.50±0.20mm x 2.00±0.20mm x 1.2mm,L=4.7 | Tol=20 | Isat=1.7A | Itemp=1.4A | DCR=0.21Ω | 2.50±0.20mm x 2.00±0.20mm x 1.2mm,Active,2.5,2,1.2,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 15,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,1.4A,0.21Ω,,4.7,UH,20,1.7A,Magnetically Shielded Type,,Samsung Wire Wound General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.50±0.20mm x 2.00±0.20mm x 1.2mm
三星Samsung,CIGW160808EHR47ML#,CIGW160808EH,0603,,,,,,Power Inductor,Isat Max: 3A | Itemp Max: 3A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Wire Wound L Type,功率电感,SMT,0603,1.60±0.20mm x 0.80±0.20mm x 0.8mm,L=0.47 | Tol=20 | Isat=3A | Itemp=3A | DCR=0.043Ω | 1.60±0.20mm x 0.80±0.20mm x 0.8mm,Active,1.6,0.8,0.8,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 17,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,3A,0.043Ω,,0.47,UH,20,3A,Magnetically Shielded Type,,Samsung Wire Wound L Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,1.60±0.20mm x 0.80±0.20mm x 0.8mm
三星Samsung,CIGW160808XMR47ML#,CIGW160808XM,0603,,,,,,Power Inductor,Isat Max: 2.7A | Itemp Max: 3A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Wire Wound L Type,功率电感,SMT,0603,1.60±0.20mm x 0.80±0.20mm x 0.8mm,L=0.47 | Tol=20 | Isat=2.7A | Itemp=3A | DCR=0.043Ω | 1.60±0.20mm x 0.80±0.20mm x 0.8mm,Active,1.6,0.8,0.8,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 17,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,3A,0.043Ω,,0.47,UH,20,2.7A,Magnetically Shielded Type,,Samsung Wire Wound L Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,1.60±0.20mm x 0.80±0.20mm x 0.8mm
三星Samsung,CIGW201610GHR33ML#,CIGW201610GH,0806,,,,,,Power Inductor,Isat Max: 5.5A | Itemp Max: 4A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Wire Wound L Type,功率电感,SMT,0806,2.00±0.20mm x 1.60±0.20mm x 1mm,L=0.33 | Tol=20 | Isat=5.5A | Itemp=4A | DCR=0.023Ω | 2.00±0.20mm x 1.60±0.20mm x 1mm,Active,2,1.6,1,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 17,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,4A,0.023Ω,,0.33,UH,20,5.5A,Magnetically Shielded Type,,Samsung Wire Wound L Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.00±0.20mm x 1.60±0.20mm x 1mm
三星Samsung,CIGW201610GLR33ML#,CIGW201610GL,0806,,,,,,Power Inductor,Isat Max: 5.2A | Itemp Max: 5.2A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Wire Wound L Type,功率电感,SMT,0806,2.00±0.20mm x 1.60±0.20mm x 1mm,L=0.33 | Tol=20 | Isat=5.2A | Itemp=5.2A | DCR=0.022Ω | 2.00±0.20mm x 1.60±0.20mm x 1mm,Active,2,1.6,1,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 17,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,5.2A,0.022Ω,,0.33,UH,20,5.2A,Magnetically Shielded Type,,Samsung Wire Wound L Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.00±0.20mm x 1.60±0.20mm x 1mm
三星Samsung,CIGW201610GLR47ML#,CIGW201610GL,0806,,,,,,Power Inductor,Isat Max: 4.5A | Itemp Max: 4.7A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Wire Wound L Type,功率电感,SMT,0806,2.00±0.20mm x 1.60±0.20mm x 1mm,L=0.47 | Tol=20 | Isat=4.5A | Itemp=4.7A | DCR=0.026Ω | 2.00±0.20mm x 1.60±0.20mm x 1mm,Active,2,1.6,1,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 17,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,4.7A,0.026Ω,,0.47,UH,20,4.5A,Magnetically Shielded Type,,Samsung Wire Wound L Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.00±0.20mm x 1.60±0.20mm x 1mm
三星Samsung,CIGW201610GLR68ML#,CIGW201610GL,0806,,,,,,Power Inductor,Isat Max: 3.6A | Itemp Max: 3.9A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Wire Wound L Type,功率电感,SMT,0806,2.00±0.20mm x 1.60±0.20mm x 1mm,L=0.68 | Tol=20 | Isat=3.6A | Itemp=3.9A | DCR=0.037Ω | 2.00±0.20mm x 1.60±0.20mm x 1mm,Active,2,1.6,1,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 17,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,3.9A,0.037Ω,,0.68,UH,20,3.6A,Magnetically Shielded Type,,Samsung Wire Wound L Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.00±0.20mm x 1.60±0.20mm x 1mm
三星Samsung,CIGW201610GL1R0ML#,CIGW201610GL,0806,,,,,,Power Inductor,Isat Max: 2.9A | Itemp Max: 3A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Wire Wound L Type,功率电感,SMT,0806,2.00±0.20mm x 1.60±0.20mm x 1mm,L=1 | Tol=20 | Isat=2.9A | Itemp=3A | DCR=0.048Ω | 2.00±0.20mm x 1.60±0.20mm x 1mm,Active,2,1.6,1,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 17,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,3A,0.048Ω,,1,UH,20,2.9A,Magnetically Shielded Type,,Samsung Wire Wound L Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.00±0.20mm x 1.60±0.20mm x 1mm
三星Samsung,CIGW201610GH1R5ML#,CIGW201610GH,0806,,,,,,Power Inductor,Isat Max: 3.1A | Itemp Max: 2.1A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Wire Wound L Type,功率电感,SMT,0806,2.00±0.20mm x 1.60±0.20mm x 1mm,L=1.5 | Tol=20 | Isat=3.1A | Itemp=2.1A | DCR=0.085Ω | 2.00±0.20mm x 1.60±0.20mm x 1mm,Active,2,1.6,1,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 17,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,2.1A,0.085Ω,,1.5,UH,20,3.1A,Magnetically Shielded Type,,Samsung Wire Wound L Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.00±0.20mm x 1.60±0.20mm x 1mm
三星Samsung,CIGW201610GL1R5ML#,CIGW201610GL,0806,,,,,,Power Inductor,Isat Max: 2.1A | Itemp Max: 2.4A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Wire Wound L Type,功率电感,SMT,0806,2.00±0.20mm x 1.60±0.20mm x 1mm,L=1.5 | Tol=20 | Isat=2.1A | Itemp=2.4A | DCR=0.075Ω | 2.00±0.20mm x 1.60±0.20mm x 1mm,Active,2,1.6,1,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 17,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,2.4A,0.075Ω,,1.5,UH,20,2.1A,Magnetically Shielded Type,,Samsung Wire Wound L Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.00±0.20mm x 1.60±0.20mm x 1mm
